file_id,line_id,timestamp,host,source,level,exception_type,description,raw_data
1617012911,8,1583892668000,,kafka,INFO,,Client environment:java.home=/data/app/jdk1.8/jre (org.apache.zookeeper.ZooKeeper),"[2020-03-11 10:11:08,013] INFO Client environment:java.home=/data/app/jdk1.8/jre (org.apache.zookeeper.ZooKeeper)"
1617012911,52,1583892668000,,kafka,INFO,,"[Log partition=dcAgentTopic-0, dir=/data/appData/kafka] Completed load of log with 1 segments, log start offset 885 and log end offset 915 in 5 ms (kafka.log.Log)","[2020-03-11 10:11:08,532] INFO [Log partition=dcAgentTopic-0, dir=/data/appData/kafka] Completed load of log with 1 segments, log start offset 885 and log end offset 915 in 5 ms (kafka.log.Log)"
1617012911,298,1583892669000,,kafka,INFO,,Replica loaded for partition nodeAgentTopic-10 with initial high watermark 0 (kafka.cluster.Replica),"[2020-03-11 10:11:09,492] INFO Replica loaded for partition nodeAgentTopic-10 with initial high watermark 0 (kafka.cluster.Replica)"
1617012911,445,1583892669000,,kafka,INFO,,"[ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=3, host=tsb-hw-prod-ckkafka3:9092) for partitions Map(nodeAgentTopic-10 -> (offset=373, leaderEpoch=38), pageAgentTopic-11 -> (offset=476883, leaderEpoch=30), mobileAgentTopic-6 -> (offset=320117730, leaderEpoch=37)) (kafka.server.ReplicaFetcherManager)","[2020-03-11 10:11:09,615] INFO [ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=3, host=tsb-hw-prod-ckkafka3:9092) for partitions Map(nodeAgentTopic-10 -> (offset=373, leaderEpoch=38), pageAgentTopic-11 -> (offset=476883, leaderEpoch=30), mobileAgentTopic-6 -> (offset=320117730, leaderEpoch=37)) (kafka.server.ReplicaFetcherManager)"
1617012911,493,1583892669000,,kafka,INFO,,"[ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=2, host=tsb-hw-prod-ckkafka2:9092) for partitions Map(__consumer_offsets-30 -> (offset=0, leaderEpoch=28), hostAgentTopic-1 -> (offset=1170705, leaderEpoch=50), pageAgentTopic-4 -> (offset=1301556, leaderEpoch=33), nodeAgentTopic-3 -> (offset=376, leaderEpoch=30), mobileAgentTopic-19 -> (offset=320120346, leaderEpoch=35), dcAgentTopic-0 -> (offset=915, leaderEpoch=19), __consumer_offsets-10 -> (offset=0, leaderEpoch=24)) (kafka.server.ReplicaFetcherManager)","[2020-03-11 10:11:09,641] INFO [ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=2, host=tsb-hw-prod-ckkafka2:9092) for partitions Map(__consumer_offsets-30 -> (offset=0, leaderEpoch=28), hostAgentTopic-1 -> (offset=1170705, leaderEpoch=50), pageAgentTopic-4 -> (offset=1301556, leaderEpoch=33), nodeAgentTopic-3 -> (offset=376, leaderEpoch=30), mobileAgentTopic-19 -> (offset=320120346, leaderEpoch=35), dcAgentTopic-0 -> (offset=915, leaderEpoch=19), __consumer_offsets-10 -> (offset=0, leaderEpoch=24)) (kafka.server.ReplicaFetcherManager)"
1617012911,531,1583892669000,,kafka,INFO,,"[ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=5, host=tsb-hw-prod-ckkafka5:9092) for partitions Map(dcAgentTopic-4 -> (offset=905, leaderEpoch=22), javaAgentTopic-1 -> (offset=19383238, leaderEpoch=40), dotnetAgentTopic-7 -> (offset=226255, leaderEpoch=33), __consumer_offsets-14 -> (offset=0, leaderEpoch=22), __consumer_offsets-34 -> (offset=0, leaderEpoch=24), dotnetAgentTopic-3 -> (offset=489629, leaderEpoch=34)) (kafka.server.ReplicaFetcherManager)","[2020-03-11 10:11:09,697] INFO [ReplicaFetcherManager on broker 1] Added fetcher to broker BrokerEndPoint(id=5, host=tsb-hw-prod-ckkafka5:9092) for partitions Map(dcAgentTopic-4 -> (offset=905, leaderEpoch=22), javaAgentTopic-1 -> (offset=19383238, leaderEpoch=40), dotnetAgentTopic-7 -> (offset=226255, leaderEpoch=33), __consumer_offsets-14 -> (offset=0, leaderEpoch=22), __consumer_offsets-34 -> (offset=0, leaderEpoch=24), dotnetAgentTopic-3 -> (offset=489629, leaderEpoch=34)) (kafka.server.ReplicaFetcherManager)"
1617012911,566,1583892669000,,kafka,INFO,,"[Log partition=__consumer_offsets-5, dir=/data/appData/kafka] Rolled new log segment at offset 27 in 2 ms. (kafka.log.Log)","[2020-03-11 10:11:09,723] INFO [Log partition=__consumer_offsets-5, dir=/data/appData/kafka] Rolled new log segment at offset 27 in 2 ms. (kafka.log.Log)"
1617012911,618,1583892744000,,kafka,INFO,,Deleted log /data/appData/kafka/__consumer_offsets-49/00000000006395158148.log.deleted. (kafka.log.LogSegment),"[2020-03-11 10:12:24,691] INFO Deleted log /data/appData/kafka/__consumer_offsets-49/00000000006395158148.log.deleted. (kafka.log.LogSegment)"
1617012911,688,1583892871000,,kafka,INFO,,"[ReplicaFetcher replicaId=1, leaderId=3, fetcherId=0] Stopped (kafka.server.ReplicaFetcherThread)","[2020-03-11 10:14:31,184] INFO [ReplicaFetcher replicaId=1, leaderId=3, fetcherId=0] Stopped (kafka.server.ReplicaFetcherThread)"
1617012911,762,1583893037000,,kafka,INFO,,"[Partition dcAgentTopic-0 broker=1] Expanding ISR from 1 to 1,2 (kafka.cluster.Partition)","[2020-03-11 10:17:17,542] INFO [Partition dcAgentTopic-0 broker=1] Expanding ISR from 1 to 1,2 (kafka.cluster.Partition)"
